PGDP_ID	ProviderID	ProviderID2	Genus	Species	Subspecies	QC	ReferenceSpecies	ReferenceID
AC_t1	Torosin	AcarTorosin	Alouatta	caraya				
PD_0177	Ageo_Melin	AgeoMelin	Ateles	geoffroyi				
AGC_m1	Torosin	AguaTorosin	Alouatta	guariba	clamitans			
PD_0175	Apal_Melin	ApalMelin	Alouatta	palliata				
KY202428.1	GenBank	KY202428.1	Alouatta	guariba	clamitans			
NC_001643.1	GenBank	NC_001643.1	Pan	troglodytes				
NC_002763.1	GenBank	NC_002763.1	Cebus	albifrons				
NC_004025.1	GenBank	NC_004025.1	Lemur	catta				
NC_006901.1	GenBank	NC_006901.1	Colobus	guereza				
NC_012774.1	GenBank	NC_012774.1	Carlito	syrichta				
NC_012775.1	GenBank	NC_012775.1	Saimiri	sciureus				
NC_018096.1	GenBank	NC_018096.1	Saimiri	boliviensis	boliviensis			
NC_018115.1	GenBank	NC_018115.1	Aotus	azarai	azarai			
NC_018116.1	GenBank	NC_018116.1	Aotus	nancymaae				
NC_018753.1	GenBank	NC_018753.1	Nomascus	gabriellae				
NC_019799.1	GenBank	NC_019799.1	Aotus	lemurinus				
NC_019800.1	GenBank	NC_019800.1	Ateles	belzebuth				
NC_019801.1	GenBank	NC_019801.1	Callicebus	donacophilus				
NC_020008.2	GenBank	NC_020008.2	Papio	kindae				
NC_021938.1	GenBank	NC_021938.1	Alouatta	caraya				
NC_021939.1	GenBank	NC_021939.1	Aotus	azarai				
NC_021941.1	GenBank	NC_021941.1	Callithrix	geoffroyi				
NC_021942.1	GenBank	NC_021942.1	Callithrix	pygmaea				
NC_021946.1	GenBank	NC_021946.1	Chiropotes	albinasus				
NC_021951.1	GenBank	NC_021951.1	Lagothrix	lagotricha				
NC_021952.1	GenBank	NC_021952.1	Leontopithecus	rosalia				
NC_021960.1	GenBank	NC_021960.1	Saguinus	oedipus				
NC_021961.1	GenBank	NC_021961.1	Cebus	xanthosternos				
NC_021965.1	GenBank	NC_021965.1	Callicebus	cupreus				
NC_021966.1	GenBank	NC_021966.1	Saimiri	boliviensis				
NC_021967.1	GenBank	NC_021967.1	Cacajao	calvus				
NC_023211.1	GenBank	NC_023211.1	Saimiri	oerstedii	citrinellus			
NC_024628.1	GenBank	NC_024628.1	Callimico	goeldii				
NC_024629.1	GenBank	NC_024629.1	Chiropotes	israelita				
NC_024630.1	GenBank	NC_024630.1	Callicebus	lugens				
NC_025586.1	GenBank	NC_025586.1	Callithrix	jacchus				
NC_027658.1	GenBank	NC_027658.1	Callithrix	kuhlii				
NC_027825.1	GenBank	NC_027825.1	Alouatta	seniculus				
NC_030788.1	GenBank	NC_030788.1	Callithrix	penicillata				
NC_037878.1	GenBank	NC_037878.1	Leontopithecus	chrysopygus				
NC_050682.1	GenBank	NC_050682.1	Callithrix	aurita				
NC_050883.1	GenBank	NC_050883.1	Sapajus	flavius				
PD_0001	28	JPB108	Cheracebus	lugens			Pithecia_pithecia	Pithecia_pithecia.fasta
PD_0002	9	CCM138	Callibela	humilis		LOW	Callithrix_jacchus	Callithrix_jacchus.fasta
PD_0003	24	MN68611	Cacajao	hosomi			Pithecia_pithecia	Pithecia_pithecia.fasta
PD_0004	25	JPB105	Ateles	belzebuth			Ateles_fusciceps	Atele_fusciceps.fasta
PD_0005	41	JPB129	Alouatta	macconnelli			Ateles_fusciceps	Atele_fusciceps.fasta
PD_0006	42	JPB131	Chiropotes	israelita			Pithecia_pithecia	Pithecia_pithecia.fasta
PD_0007	49	JPB142	Cebus	olivaceus			Cebus_albifrons	Cebus_albifrons.fasta
PD_0008	44	JPB134	Aotus	trivirgatus			Aotus_nancymaae	Aotus_nancymaae.fasta
PD_0009	65	JPB85	Saguinus	inustus		LOW	Saguinus_midas	Saguinus_midas.fasta
PD_0010	150	JT32	Cebuella	niveiventris			Callithrix_jacchus	Callithrix_jacchus.fasta
PD_0011	172	FES27	Sapajus	macrocephalus			Cebus_albifrons	Cebus_albifrons.fasta
PD_0012	190	FES22	Saimiri	ustus			Cebus_albifrons	Cebus_albifrons.fasta
PD_0013	202	JAP738	Cebus	unicolor			Cebus_albifrons	Cebus_albifrons.fasta
PD_0014	450	JT037	Plecturocebus	cupreus			Pithecia_pithecia	Pithecia_pithecia.fasta
PD_0015	471	FES57	Pithecia	vanzolinii			Pithecia_pithecia	Pithecia_pithecia.fasta
PD_0016	486	FES94	Lagothrix	lagotricha			Ateles_fusciceps	Atele_fusciceps.fasta
PD_0017	512	FES50	Leontocebus	nigricollis			Saguinus_midas	Saguinus_midas.fasta
PD_0018	3	CCM017	Cacajao	melanocephalus			Pithecia_pithecia	Pithecia_pithecia.fasta
PD_0019	47	INPA5247	Cacajao	ayresi			Pithecia_pithecia	Pithecia_pithecia.fasta
PD_0020	119	Masto283	Cacajao	calvus	calvus		Pithecia_pithecia	Pithecia_pithecia.fasta
PD_0021	158	JT063	Cacajao	calvus	rubicundus		Pithecia_pithecia	Pithecia_pithecia.fasta
PD_0022	261	CTGAM05667	Cacajao	ayresi			Pithecia_pithecia	Pithecia_pithecia.fasta
PD_0023	481	FES67	Cacajao	calvus	novaesi		Pithecia_pithecia	Pithecia_pithecia.fasta
