Sample	ContigsFound	LengthFinalContig	GenesAnnotated	Coverage
PD_0177	1	16563	15	18.919640
PD_0175	1	16525	15	12.766059
PD_0001	1	16689	15	454.397687
PD_0002	1	16568	15	100.853754
PD_0003	1	16740	15	701.531196
PD_0004	1	16616	15	129.999275
PD_0005	3	16602	15	92.984892
PD_0006	1	16681	15	292.635334
PD_0007	2	16608	15	326.893494
PD_0008	1	16594	15	767.062432
PD_0009	1	16480	15	121.472148
PD_0010	3	16592	15	227.104251
PD_0011	1	16544	15	201.075677
PD_0012	1	16474	15	309.511958
PD_0013	2	16608	15	145.808554
PD_0014	3	16612	15	220.513378
PD_0015	1	16647	15	1615.772091
PD_0016	1	16595	15	555.323350
PD_0017	1	16569	15	412.434848
PD_0018	1	16692	15	49.198838
PD_0019	1	16685	15	277.477075
PD_0020	2	16756	15	478.469373
PD_0021	1	16765	15	565.656792
PD_0022	1	16685	15	239.449326
PD_0023	1	16712	15	371.171314
PD_0024	1	16703	15	121.314494
PD_0025	4	16614	15	497.304547
PD_0026	3	16678	15	1485.863322
PD_0027	3	16642	15	187.129077
PD_0072	3	16622	15	332.549224
PD_0073	2	16574	15	197.669472
PD_0074	1	16537	15	417.912923
PD_0075	1	16572	15	327.586290
PD_0076	1	16537	15	137.816049
PD_0077	3	16607	15	298.395964
PD_0078	3	16607	15	189.319478
PD_0079	1	16556	15	349.028630
PD_0080	1	16499	15	220.107643
PD_0081	2	16738	15	204.278487
PD_0082	1	16685	15	449.246029
PD_0083	2	16705	15	143.595616
PD_0084	1	15507	15	232.415998
PD_0085	2	16705	15	377.320661
PD_0086	1	16650	15	687.630631
PD_0087	1	16651	15	174.602126
PD_0088	1	16712	15	1010.273516
PD_0089	2	16637	15	357.706971
PD_0128	1	16676	15	328.461562
PD_0129	1	16685	15	708.142343
PD_0130	1	16765	15	996.040575
PD_0131	1	16684	15	560.036502
PD_0132	1	16715	15	1248.441340
PD_0133	1	16763	15	380.697510
PD_0134	4	16624	15	175.670288
PD_0135	3	16638	15	669.202135
PD_0136	2	16622	15	217.763566
PD_0137	5	16658	15	145.615070
PD_0138	1	16559	15	161.923546
PD_0139	1	16562	15	126.135129
PD_0140	1	16536	15	274.171928
PD_0141	3	16718	15	145.155554
PD_0142	1	16703	15	425.824283
PD_0143	3	16704	15	117.867620
PD_0144	1	16651	15	652.866014
PD_0273	1	16558	15	135.744655
PD_0274	1	16556	15	303.016006
PD_0275	1	16555	15	1609.080278
PD_0276	1	16555	15	150.572818
PD_0277	1	16555	15	119.062096
PD_0278	1	16556	15	424.313482
PD_0279	2	16608	15	133.876941
PD_0280	1	16555	15	228.241317
PD_0281	1	16562	15	549.686391
PD_0282	2	16618	15	395.997464
PD_0283	2	16618	15	254.069734
PD_0284	1	16706	15	237.507961
PD_0285	1	16716	15	80.753589
PD_0286	1	16594	15	302.031819
PD_0287	3	16590	15	646.080496
PD_0288	1	16698	15	188.327225
PD_0289	1	16680	15	1645.716547
PD_0290	1	16707	15	707.526665
PD_0291	1	16679	15	403.315606
PD_0292	2	16766	15	425.558913
PD_0294	2	16637	15	175.838017
PD_0295	4	16642	15	99.575812
PD_0296	3	16637	15	194.587263
PD_0297	3	16622	15	287.186032
PD_0298	2	16622	15	155.062594
PD_0299	3	16574	15	433.227859
PD_0300	1	16563	15	136.290708
PD_0301	1	16562	15	258.934670
PD_0302	1	16564	15	24.853708
PD_0303	1	16562	15	330.871573
PD_0304	2	16620	15	183.768427
PD_0305	6	16637	15	202.254674
PD_0306	1	16704	15	36.610093
PD_0307	1	16682	15	1168.393898
PD_0308	1	16678	15	12.224607
PD_0309	5	16583	15	321.269180
PD_0310	5	16608	15	136.670332
PD_0311	2	16726	15	343.318997
PD_0312	1	16690	15	913.283463
PD_0313	2	16746	15	470.376790
PD_0314	1	16693	15	742.864854
PD_0315	1	16687	15	331.289687
PD_0316	1	16744	15	369.446222
PD_0317	1	16744	15	356.815927
PD_0318	1	16685	15	344.592149
PD_0319	1	16739	15	1092.738012
PD_0320	1	16688	15	239.976989
PD_0321	1	16690	15	402.295147
PD_0322	1	16708	15	1083.387120
PD_0323	1	16703	15	599.983057
PD_0324	1	16500	15	468.521636
PD_0325	1	16717	15	583.404319
PD_0326	1	16693	15	120.073684
PD_0327	1	16689	15	128.513212
PD_0328	1	16683	15	130.837619
PD_0329	1	16695	15	1463.875651
PD_0330	2	16732	15	183.408827
PD_0331	1	16650	15	128.663423
PD_0332	1	16555	15	359.341649
PD_0333	2	16610	15	276.944065
PD_0334	1	16556	15	422.256825
PD_0335	1	16555	15	527.695681
PD_0336	1	16555	15	463.505467
PD_0337	1	16555	15	238.278103
PD_0338	1	16558	15	426.293634
PD_0339	1	16557	15	499.318476
PD_0340	1	16558	15	615.476748
PD_0341	1	16557	15	525.497977
PD_0342	1	16555	15	244.817630
PD_0343	1	16555	15	124.862277
PD_0344	1	16555	15	1771.801208
PD_0345	1	16650	15	164.724925
PD_0346	1	16493	15	218.096283
PD_0347	1	16562	15	184.994807
PD_0348	1	16508	15	709.147080
PD_0349	1	16501	15	316.690928
PD_0350	1	16497	15	489.819179
PD_0351	1	16505	15	595.366556
PD_0352	1	16560	15	220.063406
PD_0353	1	16472	15	430.153898
PD_0354	1	16472	15	280.721831
PD_0355	1	16472	15	438.459993
PD_0356	1	16472	15	765.086146
PD_0357	1	16471	15	698.339809
PD_0358	1	16472	15	445.196333
PD_0359	1	16471	15	762.994917
PD_0360	1	16472	15	369.647220
PD_0361	1	16473	15	305.658654
PD_0362	1	16473	15	50.136284
PD_0363	1	16472	15	540.218978
PD_0364	2	16528	15	85.806653
PD_0365	1	16474	15	1920.659463
PD_0366	1	16475	15	280.379848
PD_0367	1	16473	15	305.359497
PD_0368	1	16472	15	450.331593
PD_0369	1	16474	15	396.604832
PD_0370	1	16472	15	680.913429
PD_0371	1	16472	15	449.177878
PD_0372	1	16473	15	418.471195
PD_0373	1	16472	15	515.106423
PD_0374	1	16472	15	371.208657
PD_0375	1	16474	15	520.551172
PD_0376	1	16542	15	321.842764
PD_0377	2	16600	15	457.762768
PD_0378	2	16599	15	425.679763
PD_0379	1	16544	15	181.636243
PD_0380	4	16600	15	146.476216
PD_0381	1	16544	15	263.764507
PD_0382	3	16599	15	709.276173
PD_0383	2	16599	15	258.445841
PD_0384	4	16599	15	460.790800
PD_0385	3	16599	15	366.947473
PD_0386	1	16544	15	172.054944
PD_0387	3	16599	15	219.734163
PD_0388	1	16544	15	352.622401
PD_0389	2	16600	15	318.594379
PD_0402	5	16613	15	291.978923
PD_0409	2	16751	15	743.660458
PD_0412	3	16622	15	404.917064
PD_0413	4	16623	15	236.399988
PD_0414	2	16622	15	298.072916
PD_0415	4	16635	15	404.158565
PD_0416	5	16617	15	533.417764
PD_0417	2	16615	15	840.866002
PD_0418	2	16625	15	223.054436
PD_0419	3	16622	15	412.065854
PD_0420	2	16622	15	551.334219
PD_0421	2	16622	15	668.015573
PD_0422	3	16622	15	523.814752
PD_0423	4	16622	15	572.879580
PD_0424	3	16622	15	257.042856
PD_0425	4	16623	15	432.560780
PD_0426	3	16622	15	310.992998
PD_0428	3	16622	15	186.013400
PD_0429	4	16657	15	2716.767799
PD_0430	6	16656	15	697.449551
PD_0431	1	16562	15	319.580002
PD_0432	1	16562	15	673.659280
PD_0433	1	16561	15	676.877785
PD_0434	1	16704	15	570.577167
PD_0435	1	16704	15	182.861710
PD_0436	1	16712	15	3283.611357
PD_0437	2	16765	15	1391.302633
PD_0174	2	16583	15	68.120160
PD_0176	1	16472	15	21.446212
AC_t1	1	16600	15	32.021792
AGC_m1	1	16600	15	24.944493
