Sample	ContigsFound	ContigNum	ContigLength	ContigCov
PD_0007	2	contig_1	16608	326.893494
PD_0007	2	contig_2	3175	4.337500
PD_0010	3	contig_1	16592	227.104251
PD_0010	3	contig_2	1021	4.359213
PD_0010	3	contig_3	3710	5.349932
PD_0013	2	contig_1	16608	145.808554
PD_0013	2	contig_2	1697	3.830085
PD_0014	3	contig_1	16612	220.513378
PD_0014	3	contig_2	1134	2.068582
PD_0014	3	contig_3	1020	2.636269
PD_0020	2	contig_1	16756	478.469373
PD_0020	2	contig_2	1195	2.573684
PD_0025	4	contig_1	16614	497.304547
PD_0025	4	contig_2	4136	5.265866
PD_0025	4	contig_3	1137	2.636784
PD_0025	4	contig_4	1344	2.151280
PD_0026	3	contig_1	16678	1485.863322
PD_0026	3	contig_2	1807	5.894977
PD_0026	3	contig_3	5478	9.559285
PD_0027	3	contig_1	16642	187.129077
PD_0027	3	contig_2	3804	5.776740
PD_0027	3	contig_3	1193	3.992970
PD_0072	3	contig_1	16622	332.549224
PD_0072	3	contig_2	1383	5.566265
PD_0072	3	contig_3	1475	3.221127
PD_0073	2	contig_1	16574	197.669472
PD_0073	2	contig_2	4507	9.094789
PD_0077	3	contig_1	16607	298.395964
PD_0077	3	contig_2	1071	1.752953
PD_0077	3	contig_3	1010	1.768586
PD_0078	3	contig_1	16607	189.319478
PD_0078	3	contig_2	1180	2.671111
PD_0078	3	contig_3	1227	1.954778
PD_0081	2	contig_1	16738	204.278487
PD_0081	2	contig_2	1086	2.104753
PD_0083	2	contig_1	16705	143.595616
PD_0083	2	contig_2	1902	2.557120
PD_0085	2	contig_1	16705	377.320661
PD_0085	2	contig_2	1544	2.566152
PD_0089	2	contig_1	16637	357.706971
PD_0089	2	contig_2	8641	7.185535
PD_0134	4	contig_1	16624	175.670288
PD_0134	4	contig_2	2888	7.915284
PD_0134	4	contig_3	5419	7.770694
PD_0134	4	contig_4	1478	1.917077
PD_0135	3	contig_1	16638	669.202135
PD_0135	3	contig_2	3287	5.427908
PD_0135	3	contig_3	1573	4.405138
PD_0136	2	contig_1	16622	217.763566
PD_0136	2	contig_2	2880	6.173805
PD_0137	5	contig_1	16658	145.615070
PD_0137	5	contig_2	3463	8.687207
PD_0137	5	contig_3	1866	8.204307
PD_0137	5	contig_4	1319	2.991297
PD_0137	5	contig_5	1391	3.910928
PD_0141	3	contig_1	16718	145.155554
PD_0141	3	contig_2	1133	2.316327
PD_0141	3	contig_3	5384	7.056671
PD_0143	3	contig_1	16704	117.867620
PD_0143	3	contig_2	1258	2.551953
PD_0143	3	contig_3	2515	2.766260
PD_0279	2	contig_1	16608	133.876941
PD_0279	2	contig_2	1107	2.323194
PD_0282	2	contig_1	16618	395.997464
PD_0282	2	contig_2	1972	9.800209
PD_0283	2	contig_1	16618	254.069734
PD_0283	2	contig_2	1111	2.732955
PD_0287	3	contig_1	16590	646.080496
PD_0287	3	contig_2	1543	6.573253
PD_0287	3	contig_3	1666	2.447548
PD_0292	2	contig_1	16766	425.558913
PD_0292	2	contig_2	1006	2.083070
PD_0294	2	contig_1	16637	175.838017
PD_0294	2	contig_2	5179	7.017174
PD_0295	4	contig_1	16642	99.575812
PD_0295	4	contig_2	4782	6.443199
PD_0295	4	contig_3	1883	3.057987
PD_0295	4	contig_4	1622	2.589662
PD_0296	3	contig_1	16637	194.587263
PD_0296	3	contig_2	3455	5.748235
PD_0296	3	contig_3	1174	2.420018
PD_0297	3	contig_1	16622	287.186032
PD_0297	3	contig_2	1826	4.752682
PD_0297	3	contig_3	1499	3.662050
PD_0298	2	contig_1	16622	155.062594
PD_0298	2	contig_2	6665	4.968533
PD_0299	3	contig_1	16574	433.227859
PD_0299	3	contig_2	3549	8.933887
PD_0299	3	contig_3	1227	3.437713
PD_0304	2	contig_1	16620	183.768427
PD_0304	2	contig_2	1629	3.862770
PD_0305	6	contig_1	16637	202.254674
PD_0305	6	contig_2	4314	7.454332
PD_0305	6	contig_3	2192	3.598503
PD_0305	6	contig_4	1295	2.473387
PD_0305	6	contig_5	1055	4.543000
PD_0305	6	contig_6	1299	1.563505
PD_0309	5	contig_1	16583	321.269180
PD_0309	5	contig_2	1898	7.912642
PD_0309	5	contig_3	1117	8.291902
PD_0309	5	contig_4	6223	7.987678
PD_0309	5	contig_5	1097	3.123800
PD_0310	5	contig_1	16608	136.670332
PD_0310	5	contig_2	1074	1.889107
PD_0310	5	contig_3	2322	1.749890
PD_0310	5	contig_4	1220	3.212876
PD_0310	5	contig_5	2181	6.226246
PD_0311	2	contig_1	16726	343.318997
PD_0311	2	contig_2	2054	5.576288
PD_0313	2	contig_1	16746	470.376790
PD_0313	2	contig_2	1054	1.455455
PD_0330	2	contig_1	16732	183.408827
PD_0330	2	contig_2	1023	1.916322
PD_0333	2	contig_1	16610	276.944065
PD_0333	2	contig_2	3101	2.705844
PD_0364	2	contig_1	16528	85.806653
PD_0364	2	contig_2	1677	2.011714
PD_0377	2	contig_1	16600	457.762768
PD_0377	2	contig_2	1111	2.337121
PD_0378	2	contig_1	16599	425.679763
PD_0378	2	contig_2	1806	1.561965
PD_0380	4	contig_1	16600	146.476216
PD_0380	4	contig_2	1017	2.395010
PD_0380	4	contig_3	1009	1.272537
PD_0380	4	contig_4	1283	1.675081
PD_0382	3	contig_1	16599	709.276173
PD_0382	3	contig_2	1035	1.598980
PD_0382	3	contig_3	1073	1.414538
PD_0383	2	contig_1	16599	258.445841
PD_0383	2	contig_2	3588	2.441551
PD_0384	4	contig_1	16599	460.790800
PD_0384	4	contig_2	2712	2.439217
PD_0384	4	contig_3	1056	3.078921
PD_0384	4	contig_4	1079	2.321289
PD_0385	3	contig_1	16599	366.947473
PD_0385	3	contig_2	1051	2.623494
PD_0385	3	contig_3	1203	1.772648
PD_0387	3	contig_1	16599	219.734163
PD_0387	3	contig_2	1998	3.775605
PD_0387	3	contig_3	1083	1.450389
PD_0389	2	contig_1	16600	318.594379
PD_0389	2	contig_2	1122	2.049672
PD_0402	5	contig_1	16613	291.978923
PD_0402	5	contig_2	1334	2.433151
PD_0402	5	contig_3	1668	3.551767
PD_0402	5	contig_4	3091	6.792819
PD_0402	5	contig_5	1153	1.773224
PD_0409	2	contig_1	16751	743.660458
PD_0409	2	contig_2	2020	4.671247
PD_0412	3	contig_1	16622	404.917064
PD_0412	3	contig_2	1756	3.281599
PD_0412	3	contig_3	1264	4.262200
PD_0413	4	contig_1	16623	236.399988
PD_0413	4	contig_2	2686	5.519194
PD_0413	4	contig_3	3885	6.325326
PD_0413	4	contig_4	2268	1.664709
PD_0414	2	contig_1	16622	298.072916
PD_0414	2	contig_2	2730	5.664673
PD_0415	4	contig_1	16635	404.158565
PD_0415	4	contig_2	3536	5.137030
PD_0415	4	contig_3	1945	4.282011
PD_0415	4	contig_4	1231	1.713435
PD_0416	5	contig_1	16617	533.417764
PD_0416	5	contig_2	1001	1.694503
PD_0416	5	contig_3	8145	5.573548
PD_0416	5	contig_4	1433	2.161829
PD_0416	5	contig_5	1313	1.540541
PD_0417	2	contig_1	16615	840.866002
PD_0417	2	contig_2	5595	5.079603
PD_0418	2	contig_1	16625	223.054436
PD_0418	2	contig_2	6807	6.011552
PD_0419	3	contig_1	16622	412.065854
PD_0419	3	contig_2	2703	5.604230
PD_0419	3	contig_3	1674	3.687461
PD_0420	2	contig_1	16622	551.334219
PD_0420	2	contig_2	1159	3.906703
PD_0421	2	contig_1	16622	668.015573
PD_0421	2	contig_2	6976	5.670279
PD_0422	3	contig_1	16622	523.814752
PD_0422	3	contig_2	2780	5.137615
PD_0422	3	contig_3	5907	4.688653
PD_0423	4	contig_1	16622	572.879580
PD_0423	4	contig_2	2044	5.964806
PD_0423	4	contig_3	2154	5.888042
PD_0423	4	contig_4	1530	4.643390
PD_0424	3	contig_1	16622	257.042856
PD_0424	3	contig_2	1507	4.657025
PD_0424	3	contig_3	3067	4.277224
PD_0425	4	contig_1	16623	432.560780
PD_0425	4	contig_2	2856	3.906462
PD_0425	4	contig_3	1035	1.672449
PD_0425	4	contig_4	1151	1.626825
PD_0426	3	contig_1	16622	310.992998
PD_0426	3	contig_2	1808	3.957216
PD_0426	3	contig_3	1124	1.534144
PD_0428	3	contig_1	16622	186.013400
PD_0428	3	contig_2	4121	6.049926
PD_0428	3	contig_3	2714	4.644227
PD_0429	4	contig_1	16657	2716.767799
PD_0429	4	contig_2	15647	15.315675
PD_0429	4	contig_3	2815	5.996377
PD_0429	4	contig_4	2026	4.518519
PD_0430	6	contig_1	16656	697.449551
PD_0430	6	contig_2	2636	6.354514
PD_0430	6	contig_3	2318	10.002209
PD_0430	6	contig_4	1239	2.710304
PD_0430	6	contig_5	2240	7.542334
PD_0430	6	contig_6	2155	3.280000
PD_0437	2	contig_1	16765	1391.302633
PD_0437	2	contig_2	1226	1.678907
PD_0174	2	contig_1	16583	68.120160
PD_0174	2	contig_2	4248	3.566659
